Nosaukums,Reģistrācijas numurs,Juridiskais status,Vadītājs,Filiāļu skaits,Strukturvienību skaits,Veids,Tips,Faktiskais dibinātājs,Deklarētais dibinātājs,Adrese,Tālrunis,E-pasts,Novads/Pilsēta,Likvidēta,visc_kods,pasvaldiba,urban,valoda,lat,lng
"Izglītības centrs ""Remiro""",4560800838,Komercsabiedrības struktūrvienība,RENĀTE BĒRZIŅA,0,0,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Profesionālās tālākizglītības un pilnveides izglītības iestāde,"SIA ""Remiro travel""","SIA ""Remiro travel""","LĀČPLĒŠA IELA 25 - 71, AIZKRAUKLE, AIZKRAUKLES NOVADS, LV-5101","29199850, 65123972",Remirotravel@inbox.lv,Aizkraukles novads,N,,,,,56.6005685,25.2654118
"Izglītības centrs ""Rīgas TV un radio skola""",3360800589,Juridiskā vai fiziskā persona,,0,0,Profesionālās izglītības iestāde,Pieaugušo izglītības iestāde,"Sabiedrība ar ierobežotu atbildību ""Telekompānija Forma PRO""","Sabiedrība ar ierobežotu atbildību ""Telekompānija Forma PRO""","JĀŅA IELA 3 - 7, RĪGA, LV-1050","67222040, 29932003",tv@balzam.eunet.lv,Rīga,J,,,,,0,Didn't find exactly one placemark! (Found 6)
"Izglītības centrs ""SPARNIS""",3060800876,Komercsabiedrības struktūrvienība,RAIMONDS RUBLOVSKIS,0,0,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Profesionālās tālākizglītības un pilnveides izglītības iestāde,"SIA ""AKVANAVTS""","SIA ""AKVANAVTS""","LIEDAGA IELA 5, LIEPĀJA, LV-3416",29133934,sparnis@inbox.lv,Liepāja,N,,,,,56.4908743,21.0018047
Izglītības centrs „Baltic Go”,3360800532,Juridiskā vai fiziskā persona,,0,0,Pieaugušo neformālās izglītības iestāde,Pieaugušo izglītības iestāde,Sabiedrība ar ierobežotu atbildību „Baltic Go”,Sabiedrība ar ierobežotu atbildību „Baltic Go”,"Juglas 39-24, RĪGA, LV-1064",29258784,info@balticgo.eu,Rīga,J,,,,,56.9801211,24.2526562
Izglītības centrs „DERMA”,3360800522,Komercsabiedrības struktūrvienība,,0,0,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Sabiedrība ar ierobežotu atbildību „ĀRSTNIECISKĀS KOSMĒTIKAS KABINETS ”DERMA””,Sabiedrība ar ierobežotu atbildību „ĀRSTNIECISKĀS KOSMĒTIKAS KABINETS ”DERMA””,"AUGUSTA DEGLAVA IELA 7 - 3, RĪGA, LV-1009",7279314  29510100,derma@inbox.lv,Rīga,N,,,,,0,Didn't find exactly one placemark! (Found 2)
Izglītības centrs „Enteos”,3360800518,Biedrības struktūrvienība,,0,0,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Biedrība „Sociālo iniciatīvu centrs Enteos”,Biedrība „Sociālo iniciatīvu centrs Enteos”,"LĀČPLĒŠA IELA 87c, RĪGA, LV-1011",67853078,enteos@enteos.info,Rīga,N,,,,,56.9485342,24.1339269
Izglītības centrs „k.Port”,4360800697,Komercsabiedrības struktūrvienība,,0,0,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Sabiedrība ar ierobežotu atbildību „k.Port”,Sabiedrība ar ierobežotu atbildību „k.Port”,"UZVARAS PROSPEKTS 17 - 64, BALOŽI, ĶEKAVAS NOVADS, LV-2128",26434314,dace.gagaine@kport.lv,Ķekavas novads,N,,,,,56.8784103,24.147869
Izglītības centrs „Marica plus”,3360800530,Komercsabiedrības struktūrvienība,,0,0,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Sabiedrība ar ierobežotu atbildību „ICCI”,Sabiedrība ar ierobežotu atbildību „ICCI”,"ABAVAS IELA 21, RĪGA, LV-1004",26589079,inga_cironoka@inbox.lv,Rīga,N,,,,,56.9238589,24.0777863
Izglītības centrs A&I,1460800374,Juridiskā vai fiziskā persona,,0,0,Pieaugušo neformālās izglītības iestāde,Pieaugušo izglītības iestāde,"""IK """"Izglītības centrs A&I""""""","""IK """"Izglītības centrs A&I""""""","CĒSU IELA 17, UMURGA, LIMBAŽI, LIMBAŽU NOVADS, LV-4001",4070765,ilze.ozola@mantojums.lv,Limbažu novads,J,,,,,57.5116866,24.7379609
Izglītības centrs Durbe,3360800217,Komercsabiedrības struktūrvienība,,0,0,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Profesionālās tālākizglītības un pilnveides izglītības iestāde,"Sabiedrība ar ierobežotu atbildību ""Education centre Durbe""","Sabiedrība ar ierobežotu atbildību ""Education centre Durbe""","RAIŅA BULVĀRIS 31 - 6, RĪGA, LV-1050","67844499, 29284480",pasts@durbeture.lv,Rīga,N,,,,,0,Didn't find exactly one placemark! (Found 2)
Izglītības Centrs LAPLASS,3360800403,Juridiskā vai fiziskā persona,,0,0,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Profesionālās tālākizglītības un pilnveides izglītības iestāde,,,,,,,J,,,,,0,The geocode was successful but returned no results. This may occur if the geocode was passed a non-existent address or a latlng in a remote location.
Izglītības centrs NORE,3360800482,Juridiskā vai fiziskā persona,,0,0,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Profesionālās tālākizglītības un pilnveides izglītības iestāde,,,,,,,J,,,,,0,The geocode was successful but returned no results. This may occur if the geocode was passed a non-existent address or a latlng in a remote location.
Izglītības Centrs REPETITORS,3360800648,Juridiskā vai fiziskā persona,,0,0,Profesionālās izglītības iestāde,Pieaugušo izglītības iestāde,"Sabiedrība ar ierobežotu atbildību ""MANS REPETITORS""","Sabiedrība ar ierobežotu atbildību ""MANS REPETITORS""","SLIEŽU IELA 23, RĪGA, LV-1005","29222556, 26460288",info@repetitors.lv,Rīga,J,,,,,57.0059218,24.1244192
"Izglītības iestāde ""Apsardzes mācību centrs""",3360800467,Komercsabiedrības struktūrvienība,,0,0,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Profesionālās tālākizglītības un pilnveides izglītības iestāde,"SIA ""Falck Mācību centrs""","SIA ""Falck Mācību centrs""","EZERMALAS IELA 6, RĪGA, LV-1006",67089729,macibucentrs@falck.lv,Rīga,N,,,,,56.9923151,24.1876702
"Izglītības iestāde ""Baltijas psihoterapijas institūts""",3360801025,Komercsabiedrības struktūrvienība,DACE ROLAVA,0,0,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Profesionālās tālākizglītības un pilnveides izglītības iestāde,"Sabiedrība ar ierobežotu atbildību ""Baltijas psihoterapijas institūts""","Sabiedrība ar ierobežotu atbildību ""Baltijas psihoterapijas institūts""","ATLANTIJAS IELA 79, RĪGA, LV-1015",29481150,dace@bpti.lv,Rīga,N,,,,,57.0468054,24.0936188
"Izglītības iestāde ""CNI Baltija""",3360800833,Komercsabiedrības struktūrvienība,ILANA JUDINSKA,0,0,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Profesionālās tālākizglītības un pilnveides izglītības iestāde,"Sabiedrība ar ierobežotu atbildību ""PIGMALION""","Sabiedrība ar ierobežotu atbildību ""PIGMALION""","DZIRNAVU IELA 53 - 2, RĪGA, LV-1010",67224900,info@cni-nsp.lv,Rīga,N,,,,,0,Didn't find exactly one placemark! (Found 2)
"Izglītības iestāde ""Konsultāciju un izglītības centrs""",3060800680,Komercsabiedrības struktūrvienība,,0,0,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Profesionālās tālākizglītības un pilnveides izglītības iestāde,"Sabiedrība ar ierobežotu atbildību ""Konsultāciju un izglītības centrs""","Sabiedrība ar ierobežotu atbildību ""Konsultāciju un izglītības centrs""","CELTNIEKU IELA 19, LIEPĀJA, LV-3401","63427517, 29245912",siakic@inbox.lv,Liepāja,N,,,,,56.511845,21.0025257
"Izglītības iestāde ""Pedagoģiskās meistarības skola""",4360800475,Fiziskas personas dibināta iestāde,,0,0,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Profesionālās tālākizglītības un pilnveides izglītības iestāde,IK PEDAGOĢISKĀS MEISTARĪBAS SKOLA,IK PEDAGOĢISKĀS MEISTARĪBAS SKOLA,"SKOLA, LĒDURGA, LĒDURGAS PAGASTS, KRIMULDAS NOVADS, LV-2125","67400746, 26065761",pedagogs@inbox.lv,Krimuldas novads,N,,,,,0,The geocode was successful but returned no results. This may occur if the geocode was passed a non-existent address or a latlng in a remote location.
"Izglītības iestāde ""Skolu informācijas centrs""",3360800478,Komercsabiedrības struktūrvienība,,0,0,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Profesionālās tālākizglītības un pilnveides izglītības iestāde,"Sabiedrība ar ierobežotu atbildību ""Apgāds Zvaigzne ABC""","Sabiedrība ar ierobežotu atbildību ""Apgāds Zvaigzne ABC""","KRIŠJĀŅA VALDEMĀRA IELA 6, RĪGA, LV-1010",67508798,sic@zvaigzne.lv,Rīga,N,,,,,56.9544786,24.108206
"Izglītības iestāde ""Starptautiskais diplomātisko attiecību centrs""",3360800693,Komercsabiedrības struktūrvienība,,0,0,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Profesionālās tālākizglītības un pilnveides izglītības iestāde,"Sabiedrība ar ierobežotu atbildību ""M.A.R.I.D.I""","Sabiedrība ar ierobežotu atbildību ""M.A.R.I.D.I""","STIRNU IELA 45 - 22, RĪGA, LV-1084",67320788,info@etiquette.lv,Rīga,N,,,,,56.9622434,24.1891592
Izglītības iestāde ”Web-tehnoloģiju skola”,3360800687,Komercsabiedrības struktūrvienība,,0,0,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Sabiedrība ar ierobežotu atbildību „DRMC”,Sabiedrība ar ierobežotu atbildību „DRMC”,"KANDAVAS IELA 8 - 39, RĪGA, LV-1083",67470806,webskola@inbox.lv,Rīga,N,,,,,0,Didn't find exactly one placemark! (Found 3)
Izglītības iestāde „Hair @ nail studija”,3360800554,Juridiskā vai fiziskā persona,,0,0,Profesionālās izglītības iestāde,Pieaugušo izglītības iestāde,Sabiedrība ar ierobežotu atbildību „ALEKSANDRA B”,Sabiedrība ar ierobežotu atbildību „ALEKSANDRA B”,"KURZEMES PROSPEKTS 100 - 22, RĪGA, LV-1069",29437891,,Rīga,J,,,,,56.9682972,24.012681
Izglītības iestāde „Kalnkāpēju sporta centrs”,3360800559,Biedrības struktūrvienība,,0,0,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Biedrība Kalnkāpēju Sporta Centrs,Biedrība Kalnkāpēju Sporta Centrs,"JĒKABPILS IELA 19a, RĪGA, LV-1003",29403822,nr@apollo.lv,Rīga,N,,,,,56.9447367,24.1398799
"Izglītības un kultūras centrs ""SOVINS""",3360800608,Komercsabiedrības struktūrvienība,,0,0,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Profesionālās tālākizglītības un pilnveides izglītības iestāde,"SIA ""Sabiedriskais centrs SOVINS""","SIA ""Sabiedriskais centrs SOVINS""","LOKOMOTĪVES IELA 86 - 39, RĪGA, LV-1057",67262179,levs@sovins.lv,Rīga,N,,,,,56.9015905,24.2120249
Izglītības un zinātnes ministrijas Sporta pārvaldes Specializētā Airēšanas sporta skola,2970002419,Valsts,,0,0,Profesionālās ievirzes izglītības iestāde,Sporta skola,Latvijas Republikas Ministru kabinets,Latvijas Republikas Ministru kabinets,"Vikingu 6, JŪRMALA, LV-2010",7751915,,Jūrmala,J,,,,,56.9813695,23.8752184
Izglītības un zinātnes ministrijas Sporta pārvaldes Specializētā tenisa sporta skola,3370002417,Valsts tiešās pārvaldes iestāde,,0,0,Profesionālās izglītības iestāde,Sporta skola,Latvijas Republikas Ministru kabinets,Latvijas Republikas Ministru kabinets,"BALDONES IELA 7, RĪGA, LV-1046",67612474,,Rīga,J,,,,,56.946604,24.0612473
Izglītības un zinātnes ministrijas Sporta pārvaldes specializētā vingrošanas skola,3370002374,Valsts tiešās pārvaldes iestāde,,0,0,Profesionālās izglītības iestāde,Sporta skola,Latvijas Republikas Ministru kabinets,Latvijas Republikas Ministru kabinets,"VINGROTĀJU IELA 1, RĪGA, LV-1013",67379651,,Rīga,J,,,,,56.9550969,24.1060083
"Izglītības, attīstības un atpūtas centrs ""LOGOS-12""",3051801488,Juridiskā vai fiziskā persona,,0,0,Profesionālās izglītības iestāde,Bērnu un jauniešu interešu izglītības iestāde,"Svetlana Gorodiska, Natālija Krilova, Svetlana Lobzina, Elina Dobreņkaja","Svetlana Gorodiska, Natālija Krilova, Svetlana Lobzina, Elina Dobreņkaja","KRIŠJĀŅA VALDEMĀRA IELA 35/37, LIEPĀJA, LV-3400",63422953 63425141 3433763,,Liepāja,J,,,,,56.502838,21.0066137
"Izglītības, kultūras un sporta centrs ""Līdumi""",4580900418,Pastarpinātās pārvaldes iestāde,,0,0,Pieaugušo neformālās izglītības iestāde,Pieaugušo neformālās izglītības iestāde,Jelgavas novada pašvaldība,Jelgavas novada Dome,"SKOLAS IELA 4, STAĻĢENE, JAUNSVIRLAUKAS PAGASTS, JELGAVAS NOVADS, LV-3031","63085875, 29199324",lidumi@jelgavasnovads.lv,Jelgavas novads,N,,,,,56.570756,23.956173
Izvaltas pamatskola,4212900563,Pastarpinātās pārvaldes iestāde,ZENTA GAVEIKA,0,0,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Krāslavas novada Dome,Krāslavas novada Dome,"SAULES IELA 1, IZVALTA, IZVALTAS PAGASTS, KRĀSLAVAS NOVADS, LV-5652",65649418 65649423,izvalta_skola@inbox.lv,Krāslavas novads,N,,,,,55.9573247,27.0245713
J. Čakstes Liepājas pilsētas 10. vidusskola,3013900925,Pastarpinātās pārvaldes iestāde,VILIJA VARANAUSKA,0,0,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,Liepājas pilsētas Dome,Liepājas pilsētas Dome,"ALEJAS IELA 16, LIEPĀJA, LV-3401","63424489,63424300,63423304",10vsk@inbox.lv,Liepāja,N,05731203,57,2,1,56.503955,21.0041038
J. Endzelīna Kauguru pamatskola,4412900640,Pastarpinātās pārvaldes iestāde,IVETA RAMBOLA,0,0,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Beverīnas novada pašvaldība,Beverīnas novada pašvaldība,"Kauguru skola, KAUGURI, KAUGURU PAGASTS, BEVERĪNAS NOVADS, LV-4224",64230029,kauguruskola@beverina.lv,Beverīnas novads,N,,,,,57.4934549,25.4494429
J. Raiņa Daugavpils 6. vidusskola,2713901222,Pastarpinātās pārvaldes iestāde,LARISA KOŽEVŅIKOVA,0,0,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,Daugavpils pilsētas Dome,Daugavpils pilsētas Dome,"KOMUNĀLĀ IELA 2, DAUGAVPILS, LV-5418","65425312, 65421176",daug6vsk@inbox.lv,Daugavpils,N,02632228,26,2,2,55.8645326,26.5029069
J.Cimzes Valkas Mūzikas skola,4476902225,Pastarpinātās pārvaldes iestāde,JĀNIS LUDBERGS,0,0,Profesionālās ievirzes izglītības iestāde,Mūzikas skola,Valkas novada pašvaldība,Valkas novada Dome,"SEMINĀRA IELA 25, VALKA, VALKAS NOVADS, LV-4701","64707001, 29243363",muzikas.skola@valka.lv,Valkas novads,N,,,,,57.7727623,26.0197422
J.G.Herdera Rīgas Grīziņkalna vidusskola,3613903047,Pastarpinātās pārvaldes iestāde,VERA PRIDAČA,0,0,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,Rīgas Dome,Rīgas Dome,"LAUKU IELA 9, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1009","67848952, 67848951",rherdvs@riga.lv,Rīga,N,,,,,56.958181,24.1510952
J.Pilsudska Daugavpils valsts poļu ģimnāzija,2716901232,Pastarpinātās pārvaldes iestāde,GAĻINA SMUĻKO,0,0,Vispārējās izglītības iestāde,Ģimnāzija,Daugavpils pilsētas Dome,Daugavpils pilsētas Dome,"VARŠAVAS IELA 2, DAUGAVPILS, LV-5404","65451003, 65451001",dpolvsk@apollo.lv,Daugavpils,N,02654229,26,2,4,55.8710378,26.539423
J.Soikāna Ludzas mākslas skola,4275902094,Pastarpinātās pārvaldes iestāde,SANDRA VORKALE,0,0,Profesionālās ievirzes izglītības iestāde,Mākslas skola,Ludzas novada pašvaldība,Ludzas novada pašvaldība,"STACIJAS IELA 62, LUDZA, LUDZAS NOVADS, LV-5701",65781327,sandra.lms@inbox.lv,Ludzas novads,N,,,,,56.5381935,27.7214191
Jankas Kupalas Rīgas Baltkrievu pamatskola,3612900249,Pastarpinātās pārvaldes iestāde,ANNA IVANE,0,0,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Rīgas Dome,Rīgas Dome,"ILŪKSTES IELA 10, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1082",67247545,jkbkps@riga.lv,Rīga,N,08524127,85,1,4,56.936207,24.1964283
Jāņa Dūmiņa Baldones Mūzikas skola,4376902282,Pastarpinātās pārvaldes iestāde,DACE SLOKA,0,0,Profesionālās ievirzes izglītības iestāde,Mūzikas skola,Baldones novada pašvaldība,Baldones novada Dome,"DAUGAVAS IELA 23, BALDONE, BALDONES NOVADS, LV-2125",62932069,,Baldones novads,N,,,,,56.7479959,24.3999557
Jāņa Ivanova Rēzeknes mūzikas vidusskola,3131301340,Valsts tiešās pārvaldes iestāde,SANDRA MEŽORE,0,0,Profesionālās pamata un vidējās izglītības iestāde,Profesionālās vidējās izglītības iestāde,Kultūras ministrija,Latvijas Republikas Ministru kabinets,"ATBRĪVOŠANAS ALEJA 56, RĒZEKNE, LV-4601",64622480,ivanovmusic@inbox.lv,Rēzekne,N,08171201,81,2,1,56.4975385,27.3265237
Jāņa Norviļa Madonas Mūzikas skola,4476902172,Pastarpinātās pārvaldes iestāde,MĀRTIŅŠ BERGS,0,0,Profesionālās ievirzes izglītības iestāde,Mūzikas skola,Madonas novada pašvaldība,Madonas novada Dome,"BLAUMAŅA IELA 16, MADONA, MADONAS NOVADS, LV-4801",64860628 64821924,madmuzskola@apollo.lv,Madonas novads,N,,,,,56.8517575,26.2165319
Jaņa Rozentāla Rīgas Mākslas vidusskola,3331301253,Valsts tiešās pārvaldes iestāde,JĀNIS ZIŅĢĪTIS,0,0,Profesionālās pamata un vidējās izglītības iestāde,Profesionālās vidējās izglītības iestāde,Kultūras ministrija,Latvijas Republikas Ministru kabinets,"HĀMAŅA IELA 2a, RĪGA, LV-1007",67601783,info@jrrmv.lv,Rīga,N,08471102,84,1,1,56.9519284,24.0697233
Jāņa Zālīša Sausnējas pamatskola,4412900109,Pastarpinātās pārvaldes iestāde,ANDRIS DOMBROVSKIS,0,0,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Ērgļu novada pašvaldība,Ērgļu novada pašvaldība,"Rīti, SAUSNĒJA, SAUSNĒJAS PAGASTS, ĒRGĻU NOVADS, LV-4841",64829965,sausnsk1@inbox.lv,Ērgļu novads,N,,,,,56.8005666,25.706451
Jāņaskola,0511900346,Pašvaldība,,0,0,Vispārējās izglītības iestāde,Vispārizglītojošā sākumskola,Raunas pagasta padome,Raunas pagasta padome,"p/n Dānieļi, RAUNAS PAGASTS, RAUNAS NOVADS, LV-4130",4177765,janaskola@cesis.lanet.lv,Raunas novads,J,,,,,0,The geocode was successful but returned no results. This may occur if the geocode was passed a non-existent address or a latlng in a remote location.
Jāņmuižas pirmsskolas izglītības iestāde,4401902660,Pastarpinātās pārvaldes iestāde,LILITA SIŅICINA,0,0,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Priekuļu novada pašvaldība,Priekuļu novada Dome,"SPORTA IELA 3, JĀŅMUIŽA, PRIEKUĻU PAGASTS, PRIEKUĻU NOVADS, LV-4154",64107137,lilisin@apollo.lv,Priekuļu novads,N,,,,,57.3528347,25.3295452
Jāņmuižas Profesionālā vidusskola,4431002599,Valsts tiešās pārvaldes iestāde,,0,0,Profesionālās pamata un vidējās izglītības iestāde,Profesionālās vidējās izglītības iestāde,Latvijas Republikas Ministru kabinets,Latvijas Republikas Ministru kabinets,"OZOLU GATVE 3, JĀŅMUIŽA, PRIEKUĻU PAGASTS, PRIEKUĻU NOVADS, LV-4154","64107147, 64107182",janmuiza@jpv.edu.lv,Priekuļu novads,J,,,,,57.3548066,25.3325254
Jāņmuižas sākumskola,0511900343,Pašvaldība,,0,0,Vispārējās izglītības iestāde,Vispārizglītojošā sākumskola,Priekuļu pagasta Padome,Priekuļu pagasta Padome,"PĀRGRAVAS IELA 1, JĀŅMUIŽA, PRIEKUĻU PAGASTS, PRIEKUĻU NOVADS, LV-4154",4154285,janmsk@cesis.lanet.lv,Priekuļu novads,J,,,,,57.3541232,25.3368222
Japāņu valodas un kultūras studija,3330802500,Komercsabiedrības struktūrvienība,,0,0,Profesionālās pamata un vidējās izglītības iestāde,Profesionālās pamatizglītības iestāde,Japāņu valodas un kultūras studija „GENGO” SIA,Japāņu valodas un kultūras studija „GENGO” SIA,"AUSEKĻA IELA 3 - 10, RĪGA, LV-1010",29137559,ra.gengo@gmail.com,Rīga,J,,,,,56.9602627,24.0997819
Japāņu valodas un kultūras vidusskola,3913900829,Pašvaldība,,0,0,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,LR Rīgas pilsētas Ziemeļu rajona TDP valde,LR Rīgas pilsētas Ziemeļu rajona TDP valde,"Viestura Prospekts 17/1, RĪGA, LV-1034",7397346,,Rīga,J,,,,,56.9983231,24.1319823
Jaunā Rīgas mūzikas skola,3376802797,Biedrības struktūrvienība,,0,0,Profesionālās ievirzes izglītības iestāde,Mūzikas skola,"Biedrība ""Mūzikas izglītības arka""","Biedrība ""Mūzikas izglītības arka""","BRUŅINIEKU IELA 73b - 4, RĪGA, LV-1009","67297422, 29227692",jauna.rigas.muzikas.skola@gmail.com,Rīga,N,,,,,56.9533264,24.1377815
Jaunaglonas arodvidusskola,4231002595,Valsts tiešās pārvaldes iestāde,VISVALDIS KURSĪTIS,0,0,Profesionālās pamata un vidējās izglītības iestāde,Profesionālās vidējās izglītības iestāde,Latvijas Republikas Ministru kabinets,Latvijas Republikas Ministru kabinets,"EZERKALNA IELA 4, JAUNAGLONA, AGLONAS PAGASTS, AGLONAS NOVADS, LV-5304",65381252,javs@inbox.lv,Aglonas novads,J,,1,4,1,56.1595757,27.0110048,
"Jaunalūksnes pirmsskolas izglītības iestāde ""Pūcīte""",4401901485,Pastarpinātās pārvaldes iestāde,LIGITA BELOVA,0,0,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Alūksnes novada pašvaldība,Alūksnes novada pašvaldība,"Pūcītes, KOLBERĢIS, JAUNALŪKSNES PAGASTS, ALŪKSNES NOVADS, LV-4350",64354009,pucite.kolbergis@inbox.lv,Alūksnes novads,N,,,,,57.4392929,27.1176559
Jaunannas Mūzikas un mākslas pamatskola,4412902908,Pastarpinātās pārvaldes iestāde,JANĪNA PUŽULE,0,2,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Alūksnes novada pašvaldība,Alūksnes novada pašvaldība,"""Zvaniņi"", JAUNANNAS PAGASTS, ALŪKSNES NOVADS, LV-4340",26489927,direktors.jan@aluksne.edu.lv,Alūksnes novads,N,,,,,57.2917901,27.1083426
Jaunannas Mūzikas un mākslas skola,4474902134,Pastarpinātās pārvaldes iestāde,,0,0,Profesionālās ievirzes izglītības iestāde,Mūzikas un mākslas skola,Alūksnes novada pašvaldība,Alūksnes novada pašvaldība,"Liepzari, JAUNANNAS PAGASTS, ALŪKSNES NOVADS, LV-4340",64354777,jmms@inbox.lv,Alūksnes novads,J,,,,,57.2917901,27.1083426
Jaunās Psiholoģijas koledža,3334801258,Juridiskā vai fiziskā persona,,0,0,Profesionālās izglītības iestāde,Koledža,Dace Rolava,Dace Rolava,"Pulkveža Brieža 35, RĪGA, LV-1045",7322285,info@koledza.telia.lv,Rīga,J,,,,,56.9660072,24.1058661
"Jaunatnes futbola centrs ""Skonto""",3371802720,Biedrības struktūrvienība,,0,0,Profesionālās ievirzes izglītības iestāde,Sporta skola,"Biedrība Jaunatnes futbola centrs ""Skonto""","Biedrība Jaunatnes futbola centrs ""Skonto""","EMIĻA MELNGAIĻA IELA 1a, RĪGA, LV-1010",67517151,jfcskonto@apollo.lv,Rīga,N,,,,,56.9616896,24.1143357
Jaunauces pamatskola,2112900407,Pastarpinātās pārvaldes iestāde,INGUNA BALCERE,0,0,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Jaunauces pagasta Padome,Jaunauces pagasta Padome,"Jaunauces pamatskola, JAUNAUCES PAGASTS, SALDUS NOVADS, LV-3893",63846580,jaunauce.sk@saldus.lv,Saldus novads,J,,,,,56.459669,22.6504362
"Jaunbērzes pirmsskolas izglītības iestāde ""Minkuparks""",4501901575,Pastarpinātās pārvaldes iestāde,ANITA DIDRIHSONE,0,0,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Dobeles novada Dome,Dobeles novada Dome,"CERIŅU IELA 9, JAUNBĒRZE, JAUNBĒRZES PAGASTS, DOBELES NOVADS, LV-3717",63723240,minkuparks@inbox.lv,Dobeles novads,N,,,,,56.7367014,23.3873689
Jaunburtnieku pamatskola,4412902792,Pastarpinātās pārvaldes iestāde,SARMĪTE FREIMANE,0,0,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Kocēnu novada pašvaldība,Kocēnu novada Dome,"Jaunburtnieku skola, BĒRZAINES PAGASTS, KOCĒNU NOVADS, LV-4208",64234358,jaunburtnieku.pamatskola@kocenunovads.lv,Kocēnu novads,N,,,,,57.6180012,25.2066383
Jaunburtnieku pamatskola old,2512900646,Pastarpinātās pārvaldes iestāde,,0,0,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Bērzaines pagasta Padome,Bērzaines pagasta Padome,"Jaunburtnieku skola, BĒRZAINES PAGASTS, KOCĒNU NOVADS, LV-4208",64240310,,Kocēnu novads,J,,,,,57.6180012,25.2066383
Jaunburtnieku sākumskola,4411902792,Pastarpinātās pārvaldes iestāde,,0,0,Vispārējās izglītības iestāde,Vispārizglītojošā sākumskola,Kocēnu novada pašvaldība,Kocēnu novada Dome,"Jaunburtnieku skola, BĒRZAINES PAGASTS, KOCĒNU NOVADS, LV-4208",64240310,,Kocēnu novads,J,,,,,57.6180012,25.2066383
"Jaungulbenes pirmsskolas izglītības iestāde ""Pienenīte""",4401901915,Pastarpinātās pārvaldes iestāde,INESE ŽUKA,0,0,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Gulbenes novada Dome,Gulbenes novada Dome,"Pienenīte, JAUNGULBENE, JAUNGULBENES PAGASTS, GULBENES NOVADS, LV-4420",64431571,,Gulbenes novads,N,,,,,57.0631871,26.5973617
Jaungulbenes Profesionālā vidusskola,4431002591,Valsts tiešās pārvaldes iestāde,VALENTĪNA JERMAŠEVIČA,0,0,Profesionālās pamata un vidējās izglītības iestāde,Profesionālās vidējās izglītības iestāde,Izglītības un zinātnes ministrija,Latvijas Republikas Ministru kabinets,"""Jaungulbenes Profesionālā vidusskola"", JAUNGULBENE, JAUNGULBENES PAGASTS, GULBENES NOVADS, LV-4420",64471625,skola@jaungulbene.edu.lv,Gulbenes novads,N,,,,,57.0631871,26.5973617
